"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"SUCLG2","CG32",198,"-0.06 (0.06)",0.335783487174095
"SUCLG2","CG48",199,"-0.03 (0.07)",0.271018554822954
"SUCLG2","PB",76,"0.2 (0.13)",0.959284058700675
"SUCLG2","SP",138,"0.01 (0.07)",0.997810515650132
"SYNE1","CG32",197,"0.09 (0.1)",0.300290909001565
"SYNE1","CG48",199,"-0.04 (0.14)",0.337701281576105
"SYNE1","PB",82,"0.19 (0.27)",0.377097069329907
"SYNE1","SP",134,"-0.13 (0.15)",0.619061189329278
"SYNPO2","CG32",145,"-0.1 (0.15)",0.63267322533407
"SYNPO2","CG48",144,"0.21 (0.11)",0.172932057152403
"SYNPO2","PB",76,"0.15 (0.19)",0.189833080242375
"SYNPO2","SP",93,"-0.06 (0.15)",0.788557342619055
"SYTL1","CG32",186,"0.08 (0.05)",0.22245277592087
"SYTL1","CG48",166,"0.21 (0.06)",0.00201558493708444
"SYTL1","PB",74,"-0.03 (0.1)",0.252963810558412
"SYTL1","SP",115,"0.07 (0.08)",0.48060758400306
"TAGLN","CG32",216,"-0.06 (0.03)",0.132001326927556
"TAGLN","CG48",214,"-0.05 (0.03)",0.555190038109054
"TAGLN","PB",91,"-0.01 (0.05)",0.675040556411355
"TAGLN","SP",146,"-0.03 (0.04)",0.591228589491175
"TALDO1","CG32",216,"0 (0.03)",0.846223949721357
"TALDO1","CG48",214,"0.04 (0.03)",0.168175088831345
"TALDO1","PB",91,"0.01 (0.05)",0.879589060160914
"TALDO1","SP",146,"-0.06 (0.03)",0.116956345555104
"TANGO2","CG32",121,"0 (0.37)",0.451353893407858
"TANGO2","CG48",118,"0.26 (0.44)",0.897668498002615
"TANGO2","PB",59,"-0.54 (0.55)",0.827911865435221
"TANGO2","SP",84,"-1.01 (0.49)",0.0491314685131417
"TBCD","CG32",201,"0.03 (0.07)",0.535553360431221
"TBCD","CG48",203,"0.2 (0.07)",0.0962451136206264
"TBCD","PB",87,"0.02 (0.12)",0.786911653681847
"TBCD","SP",139,"-0.02 (0.07)",0.771034897727998
"TCF20","CG32",129,"0.03 (0.1)",0.676579535380642
"TCF20","CG48",116,"-0.11 (0.1)",0.100274966953519
"TCF20","PB",48,"0.03 (0.2)",0.965054290832766
"TCF20","SP",84,"0.13 (0.11)",0.26845107463323
"TCP1","CG32",138,"0.13 (0.17)",0.577920575183693
"TCP1","CG48",143,"-0.16 (0.17)",0.268610524632517
"TCP1","PB",43,"-0.38 (0.42)",0.54305240608216
"TCP1","SP",111,"-0.03 (0.16)",0.990620661582399
"TF","CG32",216,"0.1 (0.02)",0.000818332212603471
"TF","CG48",214,"0.13 (0.03)",1.55299163956224e-06
"TF","PB",91,"-0.02 (0.04)",0.762799950073102
"TF","SP",146,"-0.1 (0.03)",0.0149512463283625
"TFAM","CG32",216,"-0.01 (0.02)",0.822674169980926
"TFAM","CG48",214,"0.06 (0.02)",0.14295730591458
"TFAM","PB",91,"0.02 (0.04)",0.734319741911303
"TFAM","SP",146,"0.06 (0.02)",0.013543747905977
"TFRC","CG32",187,"-0.13 (0.19)",0.511533634923695
"TFRC","CG48",200,"0.23 (0.16)",0.264373762626981
"TFRC","PB",84,"0.08 (0.25)",0.685371812026945
"TFRC","SP",136,"0 (0.2)",0.333977835363973
"TGFBI","CG32",216,"-0.02 (0.09)",0.448572417639459
"TGFBI","CG48",214,"-0.02 (0.1)",0.707514347057755
"TGFBI","PB",91,"0.06 (0.11)",0.405065397500375
"TGFBI","SP",146,"0.15 (0.12)",0.455300595238524
"TGM3","CG32",172,"-0.31 (0.33)",0.934421028468345
"TGM3","CG48",158,"0.12 (0.35)",0.64834950297559
"TGM3","PB",70,"0.39 (0.64)",0.226270415410668
"TGM3","SP",111,"0.01 (0.37)",0.581443623086379
"THBS1","CG32",212,"0.06 (0.18)",0.664951040181783
"THBS1","CG48",210,"0.06 (0.17)",0.401011099225828
"THBS1","PB",89,"0.23 (0.2)",0.151251785441382
"THBS1","SP",140,"0.1 (0.23)",0.419812507236302
"THBS2","CG32",160,"0.07 (0.24)",0.812282727855001
"THBS2","CG48",154,"0.34 (0.25)",0.691138199636522
"THBS2","PB",64,"-0.67 (0.31)",0.3402122269229
"THBS2","SP",101,"0.07 (0.33)",0.521058171637268
"THBS3","CG32",133,"0.32 (0.18)",0.226513847816011
"THBS3","CG48",132,"-0.04 (0.17)",0.70091230761051
"THBS3","PB",55,"-0.16 (0.27)",0.727366257785253
"THBS3","SP",85,"0.02 (0.18)",0.845654125919259
"THOC6","CG32",169,"-0.05 (0.04)",0.735925058755244
"THOC6","CG48",163,"0 (0.09)",0.307474084523562
"THOC6","PB",83,"-0.05 (0.08)",0.489407454870499
"THOC6","SP",103,"-0.05 (0.06)",0.131202780790503
"TIMM44","CG32",216,"-0.07 (0.04)",0.0645787370194201
"TIMM44","CG48",214,"-0.11 (0.05)",0.020778084297757
"TIMM44","PB",89,"0.07 (0.07)",0.287817228739306
"TIMM44","SP",144,"0.06 (0.06)",0.523288422783246
"TKT","CG32",216,"-0.14 (0.12)",0.217193885058831
"TKT","CG48",214,"0.24 (0.1)",0.00975456846589361
"TKT","PB",91,"-0.11 (0.17)",0.322188449203599
"TKT","SP",146,"-0.29 (0.15)",0.235828475254635
"TLN1","CG32",216,"0.08 (0.18)",0.566025570457471
"TLN1","CG48",214,"0.24 (0.21)",0.0661252521887628
"TLN1","PB",91,"-0.33 (0.25)",0.80429978937689
"TLN1","SP",145,"-0.26 (0.2)",0.580730581987707
"TMEM198","CG32",184,"-0.03 (0.07)",0.867396089488162
"TMEM198","CG48",173,"-0.06 (0.07)",0.536497841281384
"TMEM198","PB",69,"0.06 (0.12)",0.683370530143555
"TMEM198","SP",128,"-0.04 (0.07)",0.516943199037352
"TMEM256","CG32",215,"0.05 (0.04)",0.0905212742361678
"TMEM256","CG48",213,"0.09 (0.05)",0.142868364472843
"TMEM256","PB",90,"0 (0.06)",0.680715710473757
"TMEM256","SP",146,"0.07 (0.06)",0.127133427487814
"TMSB4X","CG32",107,"-0.13 (0.26)",0.69682763669045
"TMSB4X","CG48",125,"-0.24 (0.21)",0.272488009202797
"TMSB4X","PB",45,"0.24 (0.36)",0.715718828156782
"TMSB4X","SP",92,"0.11 (0.27)",0.681641207464682
"TNC","CG32",216,"0.56 (0.19)",0.00838579587211816
"TNC","CG48",214,"-0.29 (0.19)",0.148871663578477
"TNC","PB",91,"-0.09 (0.28)",0.824352244390727
"TNC","SP",145,"-0.09 (0.23)",0.519764406122353
"TNS1","CG32",161,"0.06 (0.09)",0.169788433974806
"TNS1","CG48",152,"-0.07 (0.07)",0.297974743235084
"TNS1","PB",57,"0.07 (0.24)",0.550253030046792
"TNS1","SP",133,"-0.09 (0.08)",0.476138090805789
"TNS2","CG32",169,"-0.01 (0.22)",0.797665063409459
"TNS2","CG48",162,"0.03 (0.22)",0.947916650858732
"TNS2","PB",54,"-0.3 (0.45)",0.689401448821716
"TNS2","SP",138,"-0.4 (0.22)",0.205089819629075
"TNS3","CG32",146,"0.03 (0.08)",0.150602854473861
"TNS3","CG48",145,"-0.1 (0.05)",0.393039449333748
"TNS3","PB",44,"-0.19 (0.11)",0.79306631972489
"TNS3","SP",131,"-0.01 (0.07)",0.75749847627234
"TNXA","CG32",169,"-0.19 (0.3)",0.727625277536345
"TNXA","CG48",156,"-0.29 (0.26)",0.736304836963625
"TNXA","PB",61,"0.5 (0.52)",0.79021946164188
"TNXA","SP",118,"-0.35 (0.35)",0.0735378443417181
"TNXB","CG32",216,"0.08 (0.16)",0.5752972639888
"TNXB","CG48",214,"0.23 (0.15)",0.477576375580144
"TNXB","PB",91,"-0.41 (0.26)",0.248344974672176
"TNXB","SP",146,"-0.18 (0.19)",0.333034569072195
"TOLLIP","CG32",184,"-0.02 (0.11)",0.858587915048865
"TOLLIP","CG48",181,"-0.06 (0.11)",0.943535609634648
"TOLLIP","PB",59,"0.03 (0.19)",0.732356590628651
"TOLLIP","SP",132,"-0.09 (0.13)",0.646025024788925
"TP53I3","CG32",126,"-0.16 (0.11)",0.727530431932054
"TP53I3","CG48",137,"0.1 (0.1)",0.120325935908812
"TP53I3","PB",68,"-0.24 (0.14)",0.496676466547753
"TP53I3","SP",91,"-0.01 (0.12)",0.642298682306516
"TPD52L2","CG32",173,"0.12 (0.42)",0.555643172394517
"TPD52L2","CG48",167,"0.44 (0.42)",0.961480679654159
"TPD52L2","PB",79,"-0.6 (0.59)",0.900952066314704
"TPD52L2","SP",112,"0.39 (0.48)",0.556364051921981
"TPM3","CG32",111,"-0.35 (0.47)",0.593745628276353
"TPM3","CG48",112,"0.15 (0.46)",0.796037862570909
"TPM3","PB",52,"1.79 (0.65)",0.0763247424375528
"TPM3","SP",77,"-0.03 (0.54)",0.795022150380677
"TTC37","CG32",151,"-0.09 (0.07)",0.195014972655931
"TTC37","CG48",161,"0.07 (0.09)",0.112403658718428
"TTC37","PB",65,"0.05 (0.13)",0.526651455321827
"TTC37","SP",102,"-0.07 (0.1)",0.733804354975382
"TTR","CG32",216,"0.09 (0.05)",0.0822907882702922
"TTR","CG48",214,"-0.01 (0.04)",0.863616450906102
"TTR","PB",91,"-0.06 (0.09)",0.354157010144956
"TTR","SP",146,"0.09 (0.06)",0.507804702268481
"TUBA1A","CG32",214,"-0.06 (0.15)",0.570296949526312
"TUBA1A","CG48",209,"0.02 (0.15)",0.864873658738787
"TUBA1A","PB",85,"-0.26 (0.23)",0.282108055743747
"TUBA1A","SP",145,"-0.14 (0.18)",0.927182128524057
"TUBA1B","CG32",215,"-0.03 (0.14)",0.642794463100731
"TUBA1B","CG48",211,"-0.02 (0.14)",0.981886973109961
"TUBA1B","PB",89,"-0.23 (0.24)",0.321428812824638
"TUBA1B","SP",145,"-0.1 (0.16)",0.997886400975623
"TUBA1C","CG32",215,"-0.06 (0.13)",0.518187352873124
"TUBA1C","CG48",211,"-0.01 (0.14)",0.976713128927899
"TUBA1C","PB",89,"-0.16 (0.23)",0.327279357936994
"TUBA1C","SP",146,"-0.12 (0.16)",0.938544861614839
"TUBA3C","CG32",214,"-0.08 (0.16)",0.445589891767734
"TUBA3C","CG48",207,"0.04 (0.15)",0.826820053276356
"TUBA3C","PB",84,"-0.34 (0.25)",0.304915735978918
"TUBA3C","SP",144,"-0.11 (0.19)",0.879386250514083
"TUBA3D","CG32",214,"-0.08 (0.16)",0.445589891767734
"TUBA3D","CG48",207,"0.04 (0.15)",0.826820053276356
"TUBA3D","PB",84,"-0.34 (0.25)",0.304915735978918
"TUBA3D","SP",144,"-0.11 (0.19)",0.879386250514083
"TUBA3E","CG32",181,"0 (0.11)",0.670611628462314
"TUBA3E","CG48",173,"-0.06 (0.13)",0.509539369520557
"TUBA3E","PB",64,"-0.13 (0.23)",0.825065136123976
"TUBA3E","SP",137,"-0.21 (0.11)",0.15790485260633
"TUBA4A","CG32",215,"-0.07 (0.15)",0.459835750927853
"TUBA4A","CG48",209,"-0.06 (0.15)",0.830263152328514
"TUBA4A","PB",88,"-0.14 (0.26)",0.879698541747179
"TUBA4A","SP",145,"-0.15 (0.17)",0.940873377682335
"TUBA4B","CG32",138,"0.02 (0.11)",0.594386293682796
"TUBA4B","CG48",138,"-0.02 (0.14)",0.623267533747551
"TUBA4B","PB",47,"0.21 (0.26)",0.0126625962194918
"TUBA4B","SP",119,"-0.03 (0.14)",0.621218008079768
"TUBA8","CG32",195,"-0.09 (0.17)",0.576058759949689
"TUBA8","CG48",202,"-0.12 (0.17)",0.780753242431434
"TUBA8","PB",83,"-0.32 (0.29)",0.21380102721207
"TUBA8","SP",139,"-0.11 (0.21)",0.915311133979789
"TUBB","CG32",204,"-0.26 (0.18)",0.0161751886446836
"TUBB","CG48",204,"0.29 (0.16)",0.0109278114271036
"TUBB","PB",88,"0.24 (0.29)",0.887492127069581
"TUBB","SP",141,"0.07 (0.24)",0.989163790494572
"TUBB1","CG32",177,"-0.27 (0.19)",0.745766731102503
"TUBB1","CG48",169,"0.48 (0.21)",0.0264632054324319
"TUBB1","PB",70,"-0.13 (0.29)",0.758673936897502
"TUBB1","SP",112,"-0.21 (0.25)",0.791930964759763
"TUBB2A","CG32",200,"-0.27 (0.22)",0.116352976360011
"TUBB2A","CG48",199,"0.12 (0.21)",0.213145422716712
"TUBB2A","PB",83,"0.25 (0.32)",0.789845882068501
"TUBB2A","SP",133,"-0.05 (0.28)",0.967492890112074
"TUBB2B","CG32",200,"-0.27 (0.22)",0.129937311845706
"TUBB2B","CG48",198,"0.13 (0.21)",0.231987627254176
"TUBB2B","PB",83,"0.23 (0.32)",0.772636827344747
"TUBB2B","SP",133,"-0.02 (0.27)",0.959514867276032
"TUBB3","CG32",197,"0.15 (0.21)",0.52416357196498
"TUBB3","CG48",188,"0.06 (0.21)",0.926348742654421
"TUBB3","PB",81,"-0.31 (0.27)",0.339497907490933
"TUBB3","SP",129,"0.19 (0.23)",0.551565706767383
"TUBB4A","CG32",202,"0.01 (0.22)",0.732318535876092
"TUBB4A","CG48",199,"0.03 (0.22)",0.95418817422321
"TUBB4A","PB",85,"-0.09 (0.32)",0.563424287325242
"TUBB4A","SP",134,"-0.12 (0.27)",0.438774688517759
"TUBB4B","CG32",210,"-0.07 (0.21)",0.529440634274151
"TUBB4B","CG48",209,"0.03 (0.2)",0.550184339763943
"TUBB4B","PB",87,"0.06 (0.28)",0.631693064458456
"TUBB4B","SP",139,"-0.22 (0.25)",0.545555593099922
"TUBB6","CG32",169,"0.02 (0.31)",0.854641106771286
"TUBB6","CG48",162,"-0.15 (0.35)",0.847173402419994
"TUBB6","PB",64,"-0.68 (0.44)",0.0522798736767263
"TUBB6","SP",114,"0.29 (0.42)",0.41880587963029
"TXNDC5","CG32",215,"-0.11 (0.07)",0.22034439260872
"TXNDC5","CG48",214,"0.01 (0.08)",0.575877724821707
"TXNDC5","PB",90,"0.04 (0.14)",0.549248689258899
"TXNDC5","SP",146,"-0.06 (0.09)",0.744282355843473
"TYMP","CG32",168,"0.04 (0.21)",0.516381309338309
"TYMP","CG48",169,"0.05 (0.24)",0.797984546085696
"TYMP","PB",67,"-0.2 (0.3)",0.452390539780654
"TYMP","SP",104,"-0.03 (0.31)",0.917499305234587
"UBA1","CG32",195,"-0.05 (0.12)",0.820624245316771
"UBA1","CG48",192,"0.06 (0.13)",0.107308158770846
"UBA1","PB",82,"0.02 (0.21)",0.349558289664244
"UBA1","SP",133,"-0.02 (0.15)",0.254534807931293
"UBA52","CG32",179,"-0.03 (0.15)",0.30301361402494
"UBA52","CG48",176,"-0.26 (0.15)",0.107699915904795
"UBA52","PB",74,"0.12 (0.27)",0.381970248772259
"UBA52","SP",118,"0.2 (0.18)",0.185972889141432
"UBAP2L","CG32",171,"-0.11 (0.13)",0.938537364774984
"UBAP2L","CG48",171,"-0.18 (0.12)",0.307770046810343
"UBAP2L","PB",56,"0.02 (0.19)",0.701269108746003
"UBAP2L","SP",122,"0.18 (0.14)",0.468728089559428
"UBB","CG32",179,"-0.03 (0.15)",0.329323184260952
"UBB","CG48",176,"-0.26 (0.15)",0.120237222140633
"UBB","PB",74,"0.12 (0.27)",0.381970248772259
"UBB","SP",118,"0.19 (0.18)",0.184937802052101
"UBC","CG32",179,"-0.03 (0.15)",0.329323184260952
"UBC","CG48",176,"-0.26 (0.15)",0.120237222140633
"UBC","PB",74,"0.12 (0.27)",0.381970248772259
"UBC","SP",118,"0.19 (0.18)",0.184937802052101
"UFD1","CG32",142,"0.02 (0.07)",0.263219984961326
"UFD1","CG48",138,"-0.16 (0.09)",0.0446328896123854
"UFD1","PB",56,"-0.25 (0.12)",0.111450997484808
"UFD1","SP",100,"0.12 (0.07)",0.326973905863206
"UGGT1","CG32",193,"0.14 (0.13)",0.167826274812297
"UGGT1","CG48",192,"0.08 (0.14)",0.452859499745498
"UGGT1","PB",76,"-0.07 (0.24)",0.621473417303068
"UGGT1","SP",128,"0.28 (0.18)",0.146689170670923
"UGGT2","CG32",158,"0.09 (0.16)",0.454974366612429
"UGGT2","CG48",165,"0.09 (0.18)",0.379845103625092
"UGGT2","PB",63,"-0.18 (0.25)",0.824529709427375
"UGGT2","SP",100,"0.26 (0.24)",0.245242922353765
"UGP2","CG32",167,"-0.07 (0.2)",0.160267577127426
"UGP2","CG48",157,"-0.17 (0.18)",0.137660696245393
"UGP2","PB",69,"0.16 (0.27)",0.386692588723364
"UGP2","SP",105,"0.07 (0.22)",0.391572945067513
"USO1","CG32",184,"-0.13 (0.08)",0.725760780739039
"USO1","CG48",183,"0.09 (0.08)",0.257160083372551
"USO1","PB",67,"0 (0.14)",0.738467929853747
"USO1","SP",134,"-0.02 (0.09)",0.914797542049261
"USP14","CG32",149,"0.22 (0.13)",0.243353502650412
"USP14","CG48",158,"0.19 (0.09)",0.303595559366975
"USP14","PB",73,"0.33 (0.15)",0.13184517030381
"USP14","SP",94,"-0.04 (0.12)",0.920092746070665
"VARS1","CG32",130,"0.38 (0.25)",0.746934728543132
"VARS1","CG48",127,"-0.05 (0.27)",0.795453033336723
"VARS1","PB",63,"-0.46 (0.35)",0.529540879228533
"VARS1","SP",83,"0.09 (0.25)",0.641883314587017
"VASN","CG32",213,"0.04 (0.13)",0.95877484960414
"VASN","CG48",210,"0.18 (0.12)",0.603366182534781
"VASN","PB",89,"-0.01 (0.29)",0.874176900567482
"VASN","SP",145,"0.12 (0.13)",0.882070999822972
"VASP","CG32",109,"0.25 (0.19)",0.263352237801826
"VASP","CG48",118,"0.02 (0.19)",0.878731467645273
"VASP","PB",48,"-0.38 (0.3)",0.446344315599518
"VASP","SP",81,"0.28 (0.2)",0.743002843742011
"VCAM1","CG32",200,"-0.47 (0.3)",0.278067700332107
"VCAM1","CG48",202,"-0.47 (0.32)",0.101362466875577
"VCAM1","PB",81,"-0.03 (0.49)",0.552801004301319
"VCAM1","SP",139,"0.2 (0.34)",0.556121118534214
"VCAN","CG32",120,"-0.15 (0.11)",0.386878949041623
"VCAN","CG48",128,"-0.15 (0.12)",0.916198262042198
"VCAN","PB",64,"-0.21 (0.15)",0.405177827805925
"VCAN","SP",71,"0.08 (0.15)",0.650169257736558
"VCL","CG32",198,"-0.35 (0.16)",0.196371367033995
"VCL","CG48",187,"-0.07 (0.16)",0.921560666701831
"VCL","PB",74,"-0.27 (0.31)",0.245518296954469
"VCL","SP",137,"0.03 (0.21)",0.898000257174125
"VCP","CG32",208,"0 (0.17)",0.692106098467192
"VCP","CG48",205,"-0.19 (0.13)",0.06703162338604
"VCP","PB",89,"0.08 (0.21)",0.621016564376446
"VCP","SP",142,"0.23 (0.19)",0.0716410418470299
"VIM","CG32",212,"0.19 (0.17)",0.33342269071504
"VIM","CG48",213,"0.04 (0.19)",0.848875385250494
"VIM","PB",91,"0.2 (0.29)",0.531364448168311
"VIM","SP",145,"-0.14 (0.22)",0.466321752448561
"VNN1","CG32",168,"-0.32 (0.17)",0.206721826778768
"VNN1","CG48",165,"-0.3 (0.14)",0.224153024232045
"VNN1","PB",62,"-0.33 (0.28)",0.170679657540107
"VNN1","SP",102,"0.36 (0.2)",0.176535380078932
"VPS13C","CG32",166,"-0.1 (0.2)",0.829116554681236
"VPS13C","CG48",156,"0.32 (0.26)",0.739903666541818
"VPS13C","PB",72,"0.21 (0.35)",0.415869171864023
"VPS13C","SP",118,"-0.39 (0.31)",0.114092777021518
"VPS25","CG32",127,"-0.39 (0.25)",0.398937030852692
"VPS25","CG48",125,"0.13 (0.3)",0.386946160475556
"VPS25","PB",46,"0.05 (0.17)",0.792773883393545
"VPS25","SP",104,"0.54 (0.32)",0.0501251107010597
"VTN","CG32",216,"-0.05 (0.03)",0.119922171430527
"VTN","CG48",214,"-0.07 (0.03)",0.0321936036485397
"VTN","PB",91,"0.06 (0.04)",0.0607342940640963
"VTN","SP",146,"-0.04 (0.04)",0.384751490332674
"VWF","CG32",216,"-0.01 (0.09)",0.807061218259843
"VWF","CG48",214,"0.02 (0.08)",0.478900408950092
"VWF","PB",91,"-0.27 (0.15)",0.253190084340822
"VWF","SP",146,"-0.27 (0.13)",0.081570658105036
"WARS1","CG32",184,"0.04 (0.09)",0.916424688875561
"WARS1","CG48",179,"-0.17 (0.09)",0.167876085497642
"WARS1","PB",72,"-0.01 (0.14)",0.886303471350644
"WARS1","SP",130,"-0.03 (0.1)",0.285234834159841
"WDR1","CG32",143,"0.17 (0.22)",0.108554236070077
"WDR1","CG48",142,"0.36 (0.22)",0.134563942722304
"WDR1","PB",67,"0.18 (0.34)",0.386256588259471
"WDR1","SP",103,"0.03 (0.25)",0.856169067531161
"WDR7","CG32",191,"0 (0.09)",0.537103796934178
"WDR7","CG48",189,"0.08 (0.07)",0.450698803869435
"WDR7","PB",86,"0.09 (0.07)",0.343308180849412
"WDR7","SP",122,"0.01 (0.15)",0.921895633437598
"XPO1","CG32",154,"-0.05 (0.15)",0.0709677397664817
"XPO1","CG48",158,"-0.03 (0.14)",0.84740331675237
"XPO1","PB",78,"-0.13 (0.15)",0.732175143099945
"XPO1","SP",94,"-0.02 (0.2)",0.829742699467628
"YWHAB","CG32",215,"-0.06 (0.08)",0.193108974316236
"YWHAB","CG48",214,"-0.06 (0.09)",0.81912210739656
"YWHAB","PB",89,"0.09 (0.16)",0.186686268715547
"YWHAB","SP",146,"0.05 (0.12)",0.848963656230203
"YWHAE","CG32",211,"-0.29 (0.19)",0.0890530201189455
"YWHAE","CG48",204,"0 (0.19)",0.856650393732887
"YWHAE","PB",89,"0.18 (0.34)",0.687089895254427
"YWHAE","SP",146,"-0.29 (0.2)",0.3343525779176
"YWHAG","CG32",211,"-0.15 (0.12)",0.0949923571289332
"YWHAG","CG48",208,"-0.2 (0.1)",0.0284498227938976
"YWHAG","PB",87,"0.14 (0.21)",0.949446094260233
"YWHAG","SP",145,"-0.2 (0.13)",0.461472800042797
"YWHAH","CG32",201,"-0.24 (0.13)",7.44210968742325e-05
"YWHAH","CG48",204,"-0.11 (0.13)",0.0256221065211073
"YWHAH","PB",78,"-0.19 (0.23)",0.50082743386705
"YWHAH","SP",143,"-0.48 (0.13)",0.000406533536273316
"YWHAQ","CG32",204,"-0.26 (0.12)",0.000489022183815671
"YWHAQ","CG48",202,"-0.22 (0.13)",0.0505894123215837
"YWHAQ","PB",84,"-0.28 (0.16)",0.6176532102932
"YWHAQ","SP",141,"-0.56 (0.15)",0.000721809557520546
"YWHAZ","CG32",212,"-0.38 (0.21)",0.0387613001197173
"YWHAZ","CG48",210,"-0.06 (0.21)",0.902768205027171
"YWHAZ","PB",83,"0.19 (0.34)",0.721138835512706
"YWHAZ","SP",145,"-0.28 (0.26)",0.0346364738432415
"ZC3HAV1","CG32",180,"-0.03 (0.11)",0.791684819058578
"ZC3HAV1","CG48",168,"-0.11 (0.11)",0.943637595687904
"ZC3HAV1","PB",70,"0 (0.17)",0.854161722825442
"ZC3HAV1","SP",118,"0.03 (0.15)",0.942825131152515
"ZCRB1","CG32",132,"0.03 (0.07)",0.838983117900708
"ZCRB1","CG48",133,"-0.01 (0.07)",0.634261132811384
"ZCRB1","PB",44,"-0.27 (0.24)",0.663474788745329
"ZCRB1","SP",100,"0.07 (0.07)",0.951282449852216
"ZFYVE19","CG32",214,"0.16 (0.03)",0.00954705004968408
"ZFYVE19","CG48",214,"0.15 (0.05)",0.00102234999528146
"ZFYVE19","PB",90,"-0.01 (0.05)",0.696109160393667
"ZFYVE19","SP",146,"0.03 (0.04)",0.482805109355857
"ZNF512B","CG32",177,"0 (0.09)",0.374763418674988
"ZNF512B","CG48",171,"0.03 (0.12)",0.500481388032731
"ZNF512B","PB",57,"0.18 (0.16)",0.305472296959697
"ZNF512B","SP",141,"-0.02 (0.11)",0.773323788172982
