"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"C3","PB",91,"0.01 (0.02)",0.78979584017779
"C3","SP",146,"-0.06 (0.02)",0.0452208075060999
"C4A","CG32",216,"-0.05 (0.02)",0.295638640163852
"C4A","CG48",214,"-0.03 (0.02)",0.150278191480425
"C4A","PB",91,"0.03 (0.03)",0.410386277693264
"C4A","SP",146,"-0.02 (0.02)",0.404511634968074
"C4B","CG32",216,"-0.05 (0.02)",0.261264522592318
"C4B","CG48",214,"-0.03 (0.02)",0.166425362015348
"C4B","PB",91,"0.03 (0.03)",0.359058043958407
"C4B","SP",146,"-0.02 (0.02)",0.446594589721386
"C4BPA","CG32",216,"-0.08 (0.02)",0.0118878641325881
"C4BPA","CG48",214,"-0.06 (0.03)",0.0235096906173638
"C4BPA","PB",91,"0.02 (0.04)",0.275288665332102
"C4BPA","SP",146,"-0.03 (0.03)",0.333034569072195
"C4BPB","CG32",202,"-0.07 (0.1)",0.472248280691128
"C4BPB","CG48",197,"-0.17 (0.1)",0.0988309398822755
"C4BPB","PB",85,"-0.04 (0.16)",0.957250955339273
"C4BPB","SP",133,"0.02 (0.11)",0.913792794219031
"C5","CG32",216,"-0.04 (0.02)",0.334712620483268
"C5","CG48",214,"-0.02 (0.02)",0.291671381642247
"C5","PB",91,"-0.01 (0.03)",0.924218131818013
"C5","SP",146,"-0.06 (0.03)",0.105147453150331
"C6","CG32",216,"-0.04 (0.03)",0.524980013009914
"C6","CG48",214,"0.06 (0.03)",0.199568894785885
"C6","PB",91,"-0.06 (0.05)",0.104351138491532
"C6","SP",146,"-0.04 (0.03)",0.206504394542736
"C7","CG32",216,"0.07 (0.06)",0.422776896350827
"C7","CG48",214,"0.11 (0.07)",0.212839822939368
"C7","PB",91,"0.06 (0.1)",0.913032877290175
"C7","SP",146,"-0.19 (0.09)",0.0801956233530051
"C8A","CG32",216,"0.02 (0.05)",0.556344061590444
"C8A","CG48",214,"0.03 (0.05)",0.0374495593618685
"C8A","PB",91,"-0.1 (0.08)",0.128907347946697
"C8A","SP",146,"0.03 (0.04)",0.594875067735075
"C8B","CG32",216,"-0.08 (0.02)",0.00441905346382849
"C8B","CG48",214,"-0.1 (0.03)",0.002817382439265
"C8B","PB",91,"-0.01 (0.04)",0.764591129481515
"C8B","SP",146,"-0.06 (0.03)",0.0950859895399031
"C8G","CG32",216,"-0.21 (0.05)",0.000972399379192697
"C8G","CG48",214,"-0.09 (0.06)",0.0661252521887628
"C8G","PB",91,"0.06 (0.1)",0.987819606945474
"C8G","SP",146,"0.06 (0.05)",0.811969223684781
"C9","CG32",216,"-0.14 (0.03)",0.00335162490937556
"C9","CG48",214,"-0.07 (0.03)",0.0760184386028113
"C9","PB",91,"0.01 (0.05)",0.839009004529244
"C9","SP",146,"-0.08 (0.04)",0.224567328086492
"C9orf64","CG32",145,"-0.06 (0.12)",0.730182333802664
